MESURE;CODE_DEPARTEMENT;LIBELLE_DPT;CODE_POSTAL;COMMUNE;CODE_NAF2;NATURE_JURIDIQUE;SIRET;DENOMINATION_SOCIALE;NUM_RUE;NOM_RUE;CODE_POST_COM;LIB_COM;TELEPHONE;MAIL_SIAE
AI;033;GIRONDE;33600;PESSAC;7830Z;Association déclarée ;34370755000038;ASSOC AIPAC;28;Avenue GUSTAVE EIFFEL;33600;PESSAC;0556463313;aipac.daniel@wanadoo.fr
ACI;033;GIRONDE;33800;BORDEAUX;8899B;Association déclarée ;43775023500032;ASSOC ATELIER REMUMENAGE;6;Rue JULES GUESDE;33800;BORDEAUX;0556928035;bardon.l@atelier-remumenage.org
AI;033;GIRONDE;33520;BRUGES;7830Z;Association déclarée ;38870926300023;ASSOC EUREKA SERVICE;68;Avenue DE VERDUN;33520;BRUGES;0556161794;insertion@eurekaservice.fr
ETTI;033;GIRONDE;33370;ARTIGUES PRES BORDEAUX;7820Z;Association déclarée d'insertion par l'économique;40998663500020;ASSOC HAUTS DE GARONNE INTERIM INSERTION;;Avenue GAY LUSSAC;33370;ARTIGUES PRES BORDEAUX;0557773131;direction@aihg.fr
EI;033;GIRONDE;33700;MERIGNAC;1071C;SAS, société par actions simplifiée;83233318100010;PAIN ET PARTAGE BORDEAUX-MERIGNAC;35;Avenue GUSTAVE EIFFEL;33700;MERIGNAC;;e.chasseriaud@asso-bic.com
EI;033;GIRONDE;33130;BEGLES;8130Z;Association déclarée ;44432544300026;ASSOC ARCINS ENTREPRISE;171;Avenue DU MARECHAL LECLERC;33130;BEGLES;0556811629;arcins.e@gmail.com
ACI;033;GIRONDE;33000;BORDEAUX;8899B;Association déclarée ;37954994200025;LES RESTAURANTS DU COEUR;;Rue MATHIEU;33000;BORDEAUX;0556438988;ad33.insertion@restosducoeur.org
EI;033;GIRONDE;33700;MERIGNAC;4520A;SARL unipersonnelle ;49368983000021;SARL AQUINETT;1;Rue PIERRE GEORGES LATECOERE;33700;MERIGNAC;0556160678;bordeaux@sineo.fr
ACI;033;GIRONDE;33820;ST AUBIN DE BLAYE;8899B;Association déclarée ;35260428400021;AGERAD;558;Rue DE LA GRAVIERE;33820;ST AUBIN DE BLAYE;0557645166;secretariat@agerad.com
EI;033;GIRONDE;33210;LANGON;0161Z;Société à responsabilité limitée (sans autre indication);48230527300039;SCOP PREISTAVIGNE;25;Rue FRERES SAINT BLANCARD;33210;LANGON;0556623902;amartin@preistavigne.fr
ACI;033;GIRONDE;33300;BORDEAUX;8121Z;Association déclarée d'insertion par l'économique;41931794600038;INSERT NET;3;Rue BOUGAINVILLE;33300;BORDEAUX;;contact@insertnet.fr
ACI;033;GIRONDE;33400;TALENCE;0113Z;Association déclarée ;81959719600016;LA PTITE FERME;244;Avenue DE THOUARS;33400;TALENCE;;camille@lesptitscageots.fr
EI;033;GIRONDE;33150;CENON;8130Z;Association déclarée d'insertion par l'économique;45139340900011;ASSOC COTX HTS DE GARONNE ENTREPRISE;54;Avenue HUBERT DUBEDOUT;33150;CENON;0557773132;nathalie.zabarte@lescoteaux-paysage.fr
EI;033;GIRONDE;33700;MERIGNAC;8219Z;Association déclarée d'insertion par l'économique;40273478400026;ASSOC EI AVEUGLES DU SUD OUEST;9;Rue JOSEPH CUGNOT;33700;MERIGNAC;0557355000;s.garseau@eipresta.fr
ACI;034;HERAULT;34000;MONTPELLIER;8899B;Association déclarée ;40308092200103;CONVERGENCES 34;37;Avenue GEORGES CLEMENCEAU;34000;MONTPELLIER;0467587243;s.asselin@gammes.org
AI;034;HERAULT;34190;GANGES;7830Z;Association intermédiaire ;41282716400010;ACTIONS EMPLOIS SERVICES SERANNE ET PIC SAINT LOUP;3;Place FABRE D'OLIVET;34190;GANGES;0467734644;me.aes.ganges@gmail.com
EI;034;HERAULT;34690;FABREGUES;1071A;Autre SARL coopérative ;80390697300026;PAIN ET PARTAGE MONTPELLIER;71;Rue MEZIERES CHRISTIN;34690;FABREGUES;0607238667;montpellier@painetpartage.eu
ACI;034;HERAULT;34000;MONTPELLIER;8559B;Association déclarée ;77606044400101;LIGUE DE L ENSEIGNEMENT HERAULT;22;Rue DE CLARET;34000;MONTPELLIER;0467043480;berengere.adam.labord@laligue34.org
ACI;034;HERAULT;34700;SOUBES;8412Z;Groupement de coopération sanitaire à gestion publique ;13001667800026;GROUPEMENT DES ETABLISSEMENTS MEDICO-SOCIAUX DU CO;282;Chemin FARRAT;34700;SOUBES;0467443303;secretariat@gecoh.fr
AI;034;HERAULT;34000;MONTPELLIER;8899B;Association déclarée ;34368318100022;INTER OUVERTURE DEVELOP SOLIDARITE ACTIV;6;Rue SAINT BARTHELEMY;34000;MONTPELLIER;;s.asselin@gammes.org
EI;034;HERAULT;34070;MONTPELLIER;1039A;SAS, société par actions simplifiée;81491132700017;AGRIVIVA PRODUCTION;371;Avenue DU MARCHE GARE;34070;MONTPELLIER;0680145998;agrivivaproduction@orange.fr
EI;034;HERAULT;34000;MONTPELLIER;4779Z;Société à responsabilité limitée (sans autre indication);43797443900071;ABI D'OCC;41;Rue CHAPTAL;34000;MONTPELLIER;0677149188;friperie.abidocc@cegetel.net
ETTI;034;HERAULT;34070;MONTPELLIER;7820Z;Société en nom collectif ;83004061400059;A2I SUD 910;70;Avenue MAURICE PLANES;34070;MONTPELLIER;0499528059;karine.danguyhote@groupeactual.eu
EI;034;HERAULT;34000;MONTPELLIER;1071C;Société à responsabilité limitée (sans autre indication);78864025800018;DROLE DE PAIN;1 401;Avenue DU MONDIAL 98;34000;MONTPELLIER;0603237908;droledepain@gmail.com
ACI;034;HERAULT;34070;MONTPELLIER;9499Z;Association déclarée ;40012174500022;FORMATION CAP EMPLOI;55;Rue SAINT CLEOPHAS;34070;MONTPELLIER;0467635302;carole.randrianarivony@formationcapemploi.fr
EI;034;HERAULT;34500;BEZIERS;9499Z;Association déclarée ;82179778400013;ANAHIDE;13;Rue DE LA CITADELLE;34500;BEZIERS;0986436262;anahideformation@gmail.com
EI;034;HERAULT;34080;MONTPELLIER;4399C;SA à conseil d'administration (s.a.i.);83037026800013;LA METROPOLITAINE DE SERVICES;929;Rue D ALCO;34080;MONTPELLIER;0616042540;jbenghabrit@m-services.pro
EI;034;HERAULT;34230;PAULHAN;3832Z;Autre SARL coopérative ;48403590200044;LA FEUILLE D ERABLE DE L HERAULT;9;Rue MARECHAL FERRAND;34230;PAULHAN;0467249856;secretariat@feuille-erable-lr.fr
EI;034;HERAULT;34400;LUNEL;8899B;Association déclarée ;44383227400031;REGIE EMPLOIS SERVICES DU PAYS DE LUNEL;71;Rue DE L INDUSTRIE;34400;LUNEL;0467836643;direction@regie-emplois-services.fr
EI;034;HERAULT;34080;MONTPELLIER;8121Z;Société à responsabilité limitée (sans autre indication);75185782200041;HYGIE SPHERE;809;Rue FAVRE DE SAINT CASTOR;34080;MONTPELLIER;;l.rodrigues@hygie-sphere.bio
EI;034;HERAULT;34080;MONTPELLIER;5610A;Autre SARL coopérative ;75365502600023;MON CUISINIER;907;Rue DU PROFESSEUR BLAYAC;34080;MONTPELLIER;0685064977;h.lichere@mon-cuisinier.fr
ACI;034;HERAULT;34570;PIGNAN;9499Z;Association déclarée ;42417801000031;ASSO ORIENT.REINS.ECONO.ACCOMPAGNEMENT;3;Rue DES AIRES;34570;PIGNAN;0467475945;agnes_diop@hotmail.com
ACI;034;HERAULT;34080;MONTPELLIER;9103Z;Association déclarée ;42121708400050;ASS LE PASSE MURAILLE;161;Rue DE SARAGOSSE;34080;MONTPELLIER;;aurelievidal@lepassemuraille.org
EI;034;HERAULT;34500;BEZIERS;9601B;Association déclarée ;42206213300034;SOLIDAR.EQUITAB.OBLIG.INSERT.DE L'AUTRE;1;Rue ANDRE CHAMSON;34500;BEZIERS;0467280930;milesisequoia@gmail.com
ACI;034;HERAULT;34000;MONTPELLIER;9499Z;Association déclarée ;47856939500013;PASSERELLES-INSERTION;26;Rue ENCLOS FERMAUD;34000;MONTPELLIER;0467924200;cendras@passerelles34.fr
EI;034;HERAULT;34000;MONTPELLIER;3821Z;SARL coopérative ouvrière de production (SCOP);81051848000019;ECOSEC;111;Rue DU FAUBOURG BOUTONNET;34000;MONTPELLIER;;b.clouet@ecosec.fr
EI;034;HERAULT;34670;BAILLARGUES;3103Z;Société à responsabilité limitée (sans autre indication);82450964000036;ECOMATELAS;586;Avenue DE LA BISTE;34670;BAILLARGUES;;info@ecomatelas.fr
ACI;034;HERAULT;34000;MONTPELLIER;8810C;Association déclarée ;48742747800010;PASSERELLES CHANTIERS;26;Rue ENCLOS FERMAUD;34000;MONTPELLIER;0467924200;cendras@passerelles34.fr
EI;034;HERAULT;34080;MONTPELLIER;3811Z;SAS, société par actions simplifiée;43401461900044;LVD ENVIRONNEMENT;710;Rue FAVRE DE SAINT CASTOR;34080;MONTPELLIER;;celine.hassani@l-v-d.fr
EI;034;HERAULT;34300;AGDE;8559B;SAS, société par actions simplifiée;84294736800010;TERRE & MER;;Quai COMMANDANT MERIC;34300;AGDE;0467210404;administration@sasterreetmer.com
EI;034;HERAULT;34070;MONTPELLIER;9499Z;Association déclarée ;82393141500017;N'INSERTION;4 895;Rue DE LA JEUNE PARQUE;34070;MONTPELLIER;0411934364;b.quillet@n-insertion.fr
AI;034;HERAULT;34310;CAPESTANG;7810Z;Association intermédiaire ;40020287500060;ASSOC INTERMEDIAIRE STEFI;46;Rue LOUIS BAISSE;34310;CAPESTANG;0467934690;stefi.compta@gmail.com
AI;034;HERAULT;34080;MONTPELLIER;8899B;Association déclarée ;34422913300022;ASSOC POUR INSERTION JEUNES PAR L EMPLOI;2; COUR BELLE VUE;34080;MONTPELLIER;0467404880;s.malepeyre@apije.org
ACI;034;HERAULT;34160;CASTRIES;9499Z;Association déclarée ;44324665700045;INFORMATIQUE PLUS;31;Rue DE LA BANDIDO;34160;CASTRIES;0467069908;direction.infoplus@free.fr
EI;034;HERAULT;34500;BEZIERS;4724Z;SARL unipersonnelle ;83366465900012;LA BITERROISE DISTRIBUTION MARCHE;681;Boulevard JULES CADENAT;34500;BEZIERS;0629623749;marche.secretariat@boulangerie-la-biterroise.fr
EI;034;HERAULT;34000;MONTPELLIER;5610A;Autre SARL coopérative ;49159800900026;REPLIC RESTAURATION INSERTION;515;Rue DE L INDUSTRIE;34000;MONTPELLIER;0467604581;montpellier@table-cana.com
EI;034;HERAULT;34500;BEZIERS;4520A;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;50840322700012;AUTO LAVAGE & SERVICES BIO;71;Avenue GAMBETTA;34500;BEZIERS;0678812243;brigitte.laborderie@orange.fr
EI;034;HERAULT;34000;MONTPELLIER;5320Z;Autre SARL coopérative ;51277847300029;MOBILECO;371;Avenue DU MARCHE GARE;34000;MONTPELLIER;0668357343;jdaunis@mobileco.fr
ACI;034;HERAULT;34000;MONTPELLIER;8790B;Association déclarée ;38247608300011;L'AVITARELLE;19;Rue BOYER;34000;MONTPELLIER;0499542650;david.cauderlier@lavitarelle.com
ACI;034;HERAULT;34400;LUNEL;8899B;Association déclarée ;44383227400031;REGIE EMPLOIS SERVICES DU PAYS DE LUNEL;71;Rue DE L INDUSTRIE;34400;LUNEL;0467836643;direction@regie-emplois-services.fr
ACI;034;HERAULT;34350;VENDRES;8899B;Association déclarée ;40815386400041;ASS RESEAU LOCAL INITIATIVE SOCIO-ECONOMIQUE LES S;1;Avenue DE BARCELONE;34350;VENDRES;0467325636;kbaylac@rlise.fr
ETTI;034;HERAULT;34080;MONTPELLIER;7820Z;SAS, société par actions simplifiée;42998653200019;PIL EMPLOI;929;Rond-point D ALCO;34080;MONTPELLIER;0467100894;direction@pil-emploi.com
ACI;034;HERAULT;34740;VENDARGUES;8899B;Association déclarée ;40486777200034;RESTAURANT DU COEUR-RELAIS COEUR HERAULT;1 155;Rue DES BIGOS;34740;VENDARGUES;0467405237;bouletd@wanadoo.fr
EI;034;HERAULT;34690;FABREGUES;0121Z;Société à responsabilité limitée (sans autre indication);83336743600015;SARL SCIC VIGNE DE COCAGNE DU DOMAINE DE MIRABEAU;;Domaine DE MIRABEAU RTE DEPART D114;34690;FABREGUES;0659512192;pauline.chatin@vignedecocagne.fr
EI;034;HERAULT;34070;MONTPELLIER;7022Z;Société à responsabilité limitée (sans autre indication);48747371200015;FORMAIDE CONSEILS;4;Rue DU LANTISSARGUES;34070;MONTPELLIER;0467578290;commercial.hd@orange.fr
ACI;034;HERAULT;34725;ST ANDRE DE SANGONIS;9499Z;Association déclarée ;75170343000098;CROIX ROUGE INSERTION CAPDIFE;3;Rue DES CHENES VERTS;34725;ST ANDRE DE SANGONIS;0467020256;martine.minardi@croix-rouge.fr
EI;034;HERAULT;34350;VENDRES;8130Z;SAS, société par actions simplifiée;81232481200013;ATI-VERT : ACCOMPAGNEMENT TRAVAIL INSERTION;;Chemin SAINT MARTIN;34350;VENDRES;0467325636;kbaylac@rlise.fr
AI;035;ILLE-ET-VILAINE;35600;REDON;7830Z;Association déclarée ;32947843200027;ASSOC AIDE INTERVENTION DEMANDEURS EMPLOI;1;Rue DU TRIBUNAL;35600;REDON;0299712062;mctesniere.aide@wanadoo.fr
ACI;035;ILLE-ET-VILAINE;35000;RENNES;8411Z;Département ;22350001800013;CONSEIL DEPARTEMENTAL D ILLE ET VILAINE;1;Avenue DE LA PREFECTURE;35000;RENNES;0299023535;thierry.bazin@ille-et-vilaine.fr
ACI;035;ILLE-ET-VILAINE;35550;ST JUST;9499Z;Association déclarée ;45284508400022;ASSOC NATURE ET MEGALITHES;10;Allée DES CERISIERS;35550;ST JUST;0299726925;valerie.neveu.cpie@orange.fr
AI;035;ILLE-ET-VILAINE;35200;RENNES;7830Z;Association intermédiaire ;43907801500054;ASSOC START AIR;101;Avenue HENRI FREVILLE;35200;RENNES;0299222013;jmcrabeil@startair.org
AI;035;ILLE-ET-VILAINE;35300;FOUGERES;7830Z;Association déclarée ;34445959900041;ASSOC AIPF;47;Avenue GEORGES POMPIDOU;35300;FOUGERES;0299944620;vblanchard@arhesgroupe.bzh
AI;035;ILLE-ET-VILAINE;35240;RETIERS;7830Z;Association intermédiaire ;34061224100034;ASSOC LE RELAIS POUR L'EMPLOI;6;Rue LOUIS PASTEUR;35240;RETIERS;0299436066;contact@lerelaispourlemploi.fr
ACI;035;ILLE-ET-VILAINE;35310;MORDELLES;8899B;Association déclarée ;33133990300048;ASSOC INTERIM L'ETAPE;;Rue DE LA CROIX IGNON;35310;MORDELLES;0299673907;asso.etape@gmail.com
AI;035;ILLE-ET-VILAINE;35470;BAIN DE BRETAGNE;7830Z;Association intermédiaire ;40003835200037;ASSOC MODE D EMPLOIS;17;Rue DE L HOTEL DE VILLE;35470;BAIN DE BRETAGNE;0299438022;direction@modemplois.org
AI;035;ILLE-ET-VILAINE;35400;ST MALO;8899B;Association déclarée ;34324509800052;ASSOC LE LIEN;40;Square DES CARAIBES;35400;ST MALO;0299561681;lelien.direction@orange.fr
ACI;035;ILLE-ET-VILAINE;35470;BAIN DE BRETAGNE;8411Z;Communauté de communes ;20007066200016;BRETAGNE PORTE DE LOIRE COMMUNAUTE;42;Rue SABIN;35470;BAIN DE BRETAGNE;0299437080;paegf@bretagneportedeloire.fr
ACI;035;ILLE-ET-VILAINE;35190;LA CHAPELLE AUX FILTZMEENS;8411Z;Communauté de communes ;24350073300114;COMMUNAUTE DE COM BRETAGNE ROMANTIQUE;22;Rue DES COTEAUX;35190;LA CHAPELLE AUX FILTZMEENS;0299452345;m.bourout@bretagneromantique.fr
EI;035;ILLE-ET-VILAINE;35200;RENNES;4779Z;SAS, société par actions simplifiée;75305671200015;SAS TROCABI;14;Rue DES FRERES LOUIS ET RENE MOINE;35200;RENNES;0299223322;trocabi35@orange.fr
ACI;035;ILLE-ET-VILAINE;35000;RENNES;8899B;Association déclarée ;33491247400072;ASSOC ETUDES ET CHANTIERS BRETAGNE PAYS DE LOIRE;3;Rue JEAN LEMAISTRE;35000;RENNES;0299546000;ec.bretagne.cauchy@gmail.com
ACI;035;ILLE-ET-VILAINE;35160;MONTFORT SUR MEU;7830Z;Association intermédiaire ;38218893600035;EUREKA EMPLOIS SERVICES;4;Place DU TRIBUNAL;35160;MONTFORT SUR MEU;0299091136;ees.sandralion@orange.fr
ACI;035;ILLE-ET-VILAINE;35240;RETIERS;7830Z;Association intermédiaire ;34061224100034;ASSOC LE RELAIS POUR L'EMPLOI;6;Rue LOUIS PASTEUR;35240;RETIERS;0299436066;contact@lerelaispourlemploi.fr
ETTI;035;ILLE-ET-VILAINE;35000;RENNES;7820Z;Société en nom collectif ;83004067100026;A2I BRETAGNE NORMANDIE 907;34; MAIL FRANCOIS MITTERRAND;35000;RENNES;;aurore.gasnier@groupeactual.eu
ETTI;035;ILLE-ET-VILAINE;35400;ST MALO;7820Z;SARL unipersonnelle ;49344483000068;ID EES INTERIM E SAINT MALO;90;Rue VILLE PEPIN;35400;ST MALO;0299213610;interim.saint-malo@groupeidees.fr
ACI;035;ILLE-ET-VILAINE;35000;RENNES;8810C;Association déclarée ;40160115800124;PRELUDE;5;Rue LEON BERTHAULT;35000;RENNES;0299145031;a.herve@clps.net
ACI;035;ILLE-ET-VILAINE;35520;MONTREUIL LE GAST;8411Z;Communauté de communes ;24350066700288;COMMUNAUTE DE COMMUNES DU VAL D ILLE AUBIGNE;; LA METAIRIE;35520;MONTREUIL LE GAST;0299698686;thomas.houssin@valdille-aubigne.fr
ACI;035;ILLE-ET-VILAINE;35000;RENNES;8810C;Association déclarée ;77774350100093;ASSOC POUR INSERTION SOCIALE;5;Rue DE LA SAUVAIE;35000;RENNES;0299673914;alice.gueguin@ais35.fr
AI;035;ILLE-ET-VILAINE;35330;VAL D ANAST;7830Z;Association déclarée ;34536738700031;ASSOC ACDES;1;Rue DE PARIS;35330;VAL D ANAST;0299924787;acdes.direction@orange.fr
EI;035;ILLE-ET-VILAINE;35690;ACIGNE;9609Z;Autre SA coopérative à conseil d'administration ;41767403300069;SCOP EBS RELAIS BRETAGNE;; JOVAL;35690;ACIGNE;0299043860;pmilleville@lerelais.org
AI;035;ILLE-ET-VILAINE;35460;MAEN ROCH;7830Z;Association intermédiaire ;34300220000024;ASSOC OCITO;5;Rue DU GENRAL DE GAULLE;35460;MAEN ROCH;0299986754;ocito@wanadoo.fr
EI;035;ILLE-ET-VILAINE;35000;RENNES;8121Z;SARL unipersonnelle ;82780407100013;SARL FEUILLE D ERABLE PROPRETE;1;Rue DE LA ROBERDIERE;35000;RENNES;0230260230;julien.bocher@feuille-erable.org
AI;035;ILLE-ET-VILAINE;35160;MONTFORT SUR MEU;7830Z;Association intermédiaire ;38218893600035;EUREKA EMPLOIS SERVICES;4;Place DU TRIBUNAL;35160;MONTFORT SUR MEU;0299091136;ees.sandralion@orange.fr
EI;035;ILLE-ET-VILAINE;35136;ST JACQUES DE LA LANDE;8130Z;Association déclarée ;41375123100031;ASSOC AJI ENVIRONNEMENT;9;Rue EMILE SOUVESTRE;35136;ST JACQUES DE LA LANDE;0299673830;ajienvir@wanadoo.fr
EI;035;ILLE-ET-VILAINE;35000;RENNES;3821Z;SAS, société par actions simplifiée;37880168200105;SAS TRIBORD RENNES;; LE GRAND BREIL;35000;RENNES;0298029899;mmartin@e-tribord.com
ACI;035;ILLE-ET-VILAINE;35600;REDON;8411Z;Commune et commune nouvelle ;21350236200014;COM DE REDON;18;Place SAINT SAUVEUR;35600;REDON;0299710527;jl.sourisseau@mairie-redon.fr
ACI;035;ILLE-ET-VILAINE;35430;ST PERE MARC EN POULET;9103Z;Commune et commune nouvelle ;21350306300033;COMMUNE DE SAINT PERE;; LE BOURG;35430;ST PERE MARC EN POULET;0299588106;adeline.bourdais@ville-saint-pere.fr
ACI;035;ILLE-ET-VILAINE;35400;ST MALO;8899B;Association déclarée ;35304251800038;ASSOC MALOUINE INSERTION ET DEVELOPPEMENT SOCIAL;52;Rue MONSIEUR VINCENT;35400;ST MALO;0299210095;direction@amids.fr
EI;035;ILLE-ET-VILAINE;35000;RENNES;9522Z;Association déclarée d'insertion par l'économique;39300820600020;ENTR NOUVELLE INSERTION ECO RENNES 35;16;Rue DE LA DONELIERE;35000;RENNES;0299386296;administration.ressourcest@envie.org
ACI;035;ILLE-ET-VILAINE;35730;PLEURTUIT;8411Z;Communauté de communes ;24350072500110;COMMUNAUTE DE COM COTE D EMERAUDE;1;Esplanade DES EQUIPAGES;35730;PLEURTUIT;0223151315;y.godet@cote-emeraude.fr
ACI;035;ILLE-ET-VILAINE;35000;RENNES;8790B;Association déclarée ;32743653100013;ASFAD;146;Route DE LORIENT;35000;RENNES;0299596001;c.gahinet@asfad.fr
ACI;035;ILLE-ET-VILAINE;35850;ROMILLE;8899B;Association déclarée ;40002917900043;ASSOCIATION DECLIC;7; RUE DES TROIS EVECHERS;35850;ROMILLE;0950854016;msimonin.asso.declic@gmail.com
ACI;035;ILLE-ET-VILAINE;35250;ST AUBIN D AUBIGNE;8899B;Association déclarée ;43003478500013;ILLE ET DEVELOPPEMENT;;Place DES HALLES;35250;ST AUBIN D AUBIGNE;0299046399;carol.latour@wanadoo.fr
ACI;035;ILLE-ET-VILAINE;35470;BAIN DE BRETAGNE;7830Z;Association intermédiaire ;40003835200037;ASSOC MODE D EMPLOIS;17;Rue DE L HOTEL DE VILLE;35470;BAIN DE BRETAGNE;0299438022;direction@modemplois.org
ACI;035;ILLE-ET-VILAINE;35740;PACE;8899B;Association intermédiaire ;33968832700032;ESPACE EMPLOI;; ESP CHARLES DE GAULLE;35740;PACE;0299601455;nroulleau@espace-emploi.fr
ETTI;035;ILLE-ET-VILAINE;35200;RENNES;7820Z;Association déclarée ;42105718300079;ADIS INTERIM;101;Avenue HENRI FREVILLE;35200;RENNES;0299222881;crabeil.jm@adisinterim.org
ACI;035;ILLE-ET-VILAINE;35300;FOUGERES;8899B;Association déclarée ;33457014000072;ASSOC FOUGERES SOLIDARITE;47;Avenue GEORGES POMPIDOU;35300;FOUGERES;0299995638;fougeressolidarite@arhesgroupe.bzh
EI;035;ILLE-ET-VILAINE;35000;RENNES;3831Z;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;52899655600015;SAS ENVIE 2E RECYCLAGE BRETAGNE;18;Rue DE LA DONELIERE;35000;RENNES;0223362988;administration.ressourcest@envie.org
ETTI;035;ILLE-ET-VILAINE;35300;FOUGERES;7820Z;SARL unipersonnelle ;49344483000084;ID EES INTERIM E PAYS DE FOUGERES;4;Rue DES PRES;35300;FOUGERES;0299998030;interim.fougeres@groupeidees.fr
ACI;035;ILLE-ET-VILAINE;35500;VITRE;8411Z;Communauté d'agglomération ;20003902200013;COMMUNAUTE AGGLO VITRE COMMUNAUTE;16;Boulevard DES ROCHERS;35500;VITRE;0299745261;f.neveu@vitrecommunaute.org
ACI;035;ILLE-ET-VILAINE;35300;FOUGERES;8790B;Association déclarée ;31956003300015;ASSOC EMMAUS FOUGERES;; PARON;35300;FOUGERES;0299941874;insertion.emmaus@free.fr
EI;035;ILLE-ET-VILAINE;35000;RENNES;4941B;SAS, société par actions simplifiée;50269429200017;SAS ENVIE TRANSPORT BRETAGNE;18;Rue DE LA DONELIERE;35000;RENNES;0299362988;administration.ressourcest@envie.org
ACI;035;ILLE-ET-VILAINE;35580;GUICHEN;8411Z;Communauté de communes ;20004399000015;VALLONS DE HAUTE-BRETAGNE COMMUNAUTE;12;Rue BLAISE PASCAL;35580;GUICHEN;0299570380;aurore.richarddewismes@vallonsdehautebretagne.fr
AI;035;ILLE-ET-VILAINE;35830;BETTON;7830Z;Association intermédiaire ;39331253300036;ASSOC ACSE 175;32;Avenue D ARMORIQUE;35830;BETTON;0299557980;accueil@acse175.fr
AI;035;ILLE-ET-VILAINE;35580;GUICHEN;7830Z;Association déclarée ;38165559600033;ASSOC ACTION;26;Rue DU COMMANDANT CHARCOT;35580;GUICHEN;0299573078;action.guichen@laposte.net
ACI;035;ILLE-ET-VILAINE;35630;HEDE BAZOUGES;8790B;Association déclarée ;31168649700059;COMMUNAUTE EMMAUS RENNES HEDE SAINT MALO;53;Rue DE LA MOTTE;35630;HEDE BAZOUGES;0299455387;insertionemmaushede@orange.fr
AI;035;ILLE-ET-VILAINE;35170;BRUZ;7830Z;Association déclarée ;37841886700024;ASSOC RELAIS EMPLOI;;Rue DES PLANCHES;35170;BRUZ;0299055309;pascal.guine@relaisemploi.org
ACI;035;ILLE-ET-VILAINE;35600;REDON;9499Z;Association déclarée ;77560447300055;FEDERATION D'ANIMATION RURALE EN PAYS DE VILAINE;5;Rue JACQUES PRADO;35600;REDON;0299721746;fabien.renaud@lafede.fr
EI;035;ILLE-ET-VILAINE;35000;RENNES;3832Z;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;53876295600018;SAS FEUILLE D'ERABLE;1;Rue DE LA ROBERDIERE;35000;RENNES;0299547424;maelle.delourme@feuille-erable.org
ACI;035;ILLE-ET-VILAINE;35000;RENNES;8899B;Association déclarée ;38008597700045;ASSOC RESTAURANTS ET RELAIS DU COEUR;15;Rue DE LA ROBERDIERE;35000;RENNES;0299237030;ad35.jardins@restosducoeur.org
ETTI;035;ILLE-ET-VILAINE;35000;RENNES;7820Z;SARL unipersonnelle ;49344483000126;ID'EES INTERIM E;28;Rue BAHON RAULT;35000;RENNES;;interim.rennes@groupeidees.fr
ACI;035;ILLE-ET-VILAINE;35400;ST MALO;8899B;Association déclarée ;80935358400026;PASS'EMPLOI;13;Rue CLAUDE BERNARD;35400;ST MALO;;contact@passemploi.fr
AI;035;ILLE-ET-VILAINE;35520;LA MEZIERE;7830Z;Association intermédiaire ;34025667600024;ASS COMMUNALE TRAVAIL INSERTION & FORMAT;32;Place DE L EGLISE;35520;LA MEZIERE;0299692046;bruno.andre@actif35.org
ACI;035;ILLE-ET-VILAINE;35000;RENNES;9499Z;Association déclarée ;31545808300096;COMPAGNONS BATISSEURS BRETAGNE;22;Rue DE LA DONELIERE;35000;RENNES;0299026060;k.lenoir@compagnonsbatisseurs.eu
AI;035;ILLE-ET-VILAINE;35740;PACE;8899B;Association intermédiaire ;33968832700032;ESPACE EMPLOI;; ESP CHARLES DE GAULLE;35740;PACE;0299601455;nroulleau@espace-emploi.fr
ACI;035;ILLE-ET-VILAINE;29270;CARHAIX PLOUGUER;8810C;Association déclarée ;44833705500025;YVES MORVAN SOLIDAIRE;5;Rue EUGENE GUILLOUX;29270;CARHAIX PLOUGUER;0298994351;christine.ziegler@garagesolidaire.fr
AI;036;INDRE;36100;ISSOUDUN;7830Z;Association déclarée ;40139335000012;ASSOC TREMPLIN;;Place DES DROITS DE L HOMME;36100;ISSOUDUN;0254219090;association-inter-tremplin@wanadoo.fr
EI;036;INDRE;36000;CHATEAUROUX;4520A;Société à responsabilité limitée (sans autre indication);51928881500011;SARL IMEIJ 36 SINEO;29;Rue BERNARDIN;36000;CHATEAUROUX;0254534445;direction@gepim.org
AI;036;INDRE;36000;CHATEAUROUX;7830Z;Association intermédiaire ;34323622000020;ASSOC INTERMAIDE;29;Rue BERNARDIN;36000;CHATEAUROUX;0254534443;directiontt@gepim.org
ACI;036;INDRE;36000;CHATEAUROUX;9499Z;Association déclarée ;44409570700048;ASSOC MOB D EMPLOI 36;29;Rue BERNARDIN;36000;CHATEAUROUX;0254272631;direction@gepim.org
EI;036;INDRE;36150;VATAN;7830Z;Association intermédiaire ;39036313300039;SERVICE PLUS;;Avenue DE LA SENTINELLE;36150;VATAN;;nadege.lucas-david@orange.fr
EI;036;INDRE;36000;CHATEAUROUX;8790B;Association déclarée d'insertion par l'économique;32876894000095;ASSOC SOLIDARITE ACCUEIL;20;Avenue CHARLES DE GAULLE;36000;CHATEAUROUX;0254277717;mhadi@solidarite-accueil.fr
