GEIQ;ADRESSE;COMPLEMENT ADRESSE;VILLE;CODE POSTAL;EMAIL;TEL;NAF;SIRET;;;
GEIQ TRANSPORT AVENIR EMPLOI RHONE-ALPES;67, rue Jean Zay;FIRST PARK;SAINT PRIEST;69800;contact@geiqtrans.fr;04 37 25 03 34;7830Z;49166880200037;;;
GEIQ TRANSPORT BFC;5, rue des Murées;;AHUY;21121;contact@geiqtransport.fr;03 80 28 52 82;;84064579000014;;;
GEIQ TRANSPORT ET LOGISTIQUE 59-62;622, rue des Hauts de France;Campus Euralogistic - Plate-forme Delta 3;HENIN BEAUMONT;62110;geiqartoislittoral@wanadoo.fr;03 61 48 81 18;;43998437800018;;;
GEIQ TRANSPORT ET LOGISTIQUE D'AUVERGNE;4, rue Nicolas Rambourg;;YZEURE;03400;contact@geiq-tl-auvergne.fr;04 70 44 35 08;;83290411400010;;;
GEIQ TRANSPORT ET SERVICES LIMOUSIN;4, rue Atlantis;Bâtiment OXO;LIMOGES;87068;getransportlimousin@orange.fr;05 55 77 54 50;7830Z;53902799500023;;;
GEIQ TRANSPORT LOGISTIQUE BRETAGNE;33, rue de Frébardière;;CHANTEPIE;35135;contact@geiqtransportbzh.fr;02 56 01 72 61;;"	85029917300011";;;
GEIQ TRANSPORT NORMANDIE;109-111, cours Clémenceau;BP 1116;ROUEN;76175;geiq.transportnormandie@orange.fr;02 35 73 37 65;7830Z;"	84161662600013";;;
GEIQ TRANSPORT PAYS DE LA LOIRE;1, rue Pasteur;;CLISSON;44190; direction@geiq-transport.fr;02 40 54 27 96;7830Z;"	42980501300027";;;
GEIQ TRANSPORTS OCCITANIE;8 ter, chemin de la Violette;;L'UNION;31240;accueil@geiqtrans-occitanie.com;05 61 58 11 26;;84083476600015;;;
GEIQ VERT;95, chemin de Gabardie;;TOULOUSE;31200;contact@geiqvert.com;05 82 95 00 04;7830Z;41368291500033;;;
